.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
dom-serializer	0.0.0	render dom nodes to string		git://github.com/cheeriojs/dom-renderer.git	Felix Boehm	me@feedic.com		1.4.10		2a207dcae76ce52fbb1793f34f5df202fd1bdc4c	https://registry.npmjs.org/dom-serializer/-/dom-serializer-0.0.0.tgz	2014-05-20T13:20:43.000Z
dom-serializer	0.0.1	render dom nodes to string		git://github.com/cheeriojs/dom-renderer.git	Felix Boehm	me@feedic.com		1.4.13		9589827f1e32d22c37c829adabd59b3247af8eaf	https://registry.npmjs.org/dom-serializer/-/dom-serializer-0.0.1.tgz	2014-06-03T17:14:23.674Z
dom-serializer	0.1.0	render dom nodes to string	MIT	git://github.com/cheeriojs/dom-renderer.git	Felix Boehm	me@feedic.com		2.4.1	1.2.0	073c697546ce0780ce23be4a28e293e40bc30c82	https://registry.npmjs.org/dom-serializer/-/dom-serializer-0.1.0.tgz	2015-02-11T22:37:38.358Z
dom-serializer	0.1.1	render dom nodes to string	MIT	git://github.com/cheeriojs/dom-renderer.git	Felix Boehm	me@feedic.com		6.8.0	11.4.0	1ec4059e284babed36eec2941d4a970a189ce7c0	https://registry.npmjs.org/dom-serializer/-/dom-serializer-0.1.1.tgz	2019-02-14T18:35:24.541Z
dom-serializer	0.2.0	render dom nodes to string	MIT	git://github.com/cheeriojs/dom-renderer.git	Felix Boehm	me@feedic.com		6.10.1	12.4.0	fd7beb2e6356ae93c7b5a41754d9e42c6ef00d4a	https://registry.npmjs.org/dom-serializer/-/dom-serializer-0.2.0.tgz	2019-08-02T01:49:28.252Z
dom-serializer	0.2.1	render dom nodes to string	MIT	git://github.com/cheeriojs/dom-renderer.git	Felix Boehm	me@feedic.com		6.10.1	12.4.0	13650c850daffea35d8b626a4cfc4d3a17643fdb	https://registry.npmjs.org/dom-serializer/-/dom-serializer-0.2.1.tgz	2019-08-02T01:55:53.155Z
dom-serializer	0.2.2	render dom nodes to string	MIT	git://github.com/cheeriojs/dom-renderer.git	Felix Boehm	me@feedic.com		6.13.0	12.4.0	1afb81f533717175d478655debc5e332d9f9bb51	https://registry.npmjs.org/dom-serializer/-/dom-serializer-0.2.2.tgz	2019-11-09T22:49:34.548Z
dom-serializer	1.0.0	render dom nodes to string	MIT	git://github.com/cheeriojs/dom-renderer.git	Felix Boehm	me@feedic.com		6.14.4	14.2.0	7ad5031be731a95673787e94567d216b83973eab	https://registry.npmjs.org/dom-serializer/-/dom-serializer-1.0.0.tgz	2020-05-09T22:51:10.992Z
dom-serializer	1.0.1	render dom nodes to string	MIT	git://github.com/cheeriojs/dom-renderer.git	Felix Boehm	me@feedic.com		6.14.4	14.2.0	79695eb49af3cd8abc8d93a73da382deb1ca0795	https://registry.npmjs.org/dom-serializer/-/dom-serializer-1.0.1.tgz	2020-05-09T23:22:52.025Z
dom-serializer	1.1.0	render dom nodes to string	MIT	git://github.com/cheeriojs/dom-renderer.git	Felix Boehm	me@feedic.com		6.14.4	14.3.0	5f7c828f1bfc44887dc2a315ab5c45691d544b58	https://registry.npmjs.org/dom-serializer/-/dom-serializer-1.1.0.tgz	2020-09-13T20:13:48.831Z
